# Protein-1,# Protein-2
4EBP1,AKT1
4EBP1,CCND1
4EBP1,MAPK14
4EBP1,TFDP1
14-3-3-zeta,AKT1
14-3-3-zeta,BAD
14-3-3-zeta,CSNK1A1
14-3-3-zeta,CTNNB1
14-3-3-zeta,KRT18
14-3-3-zeta,PRKCA
14-3-3-zeta,RAN
ABIN2,FLNA
ABIN2,LYN
ABIN2,NFKB1
ABIN2,NFKB2
ABIN2,RELA
ABIN2,RIPK1
ABIN2,STK11
ABIN2,TAB2
ABIN2,TRAF2
ABL1,APP
ABL1,CBL
ABL1,CCNA2
ABL1,CDC42
ABL1,CRK
ABL1,CRKL
ABL1,CTNNB1
ABL1,FOS
ABL1,FYN
ABL1,GRB2
ABL1,MYC
ABL1,SHC1
ABL1,SRC
ABL1,TP53
ABL1,YAP1
add1,ABL1
add1,AKT1
add1,CSK
add1,CSNK1E
add1,HIPK2
add1,JAK1
add1,LYN
add1,PRKCA
add1,STK11
AIP4,ARRB2
AIP4,HGS
AIP4,JUNB
AIP4,LYN
AIP4,MET
AIP4,NUMB
AIP4,SMAD3
AKAP95,CASP3
AKAP95,CCND1
AKAP95,MYC
AKT1,CCNA2
AKT1,FYN
AKT1,PRKCA
AKT1,PRKCI
AKT1,STAT3
AKT1,STAT5B
AML1,CTCF
AML1,HAT1
AML1,NCOR1
AML1,PPP2CA
AML1,RUVBL1
ANAPC2,ANAPC4
ANAPC2,ANAPC5
ANAPC2,CCNB1
ANAPC2,CDC16
ANAPC2,CDK2
ANAPC2,FZR1
ANAPC2,PSMB5
ANAPC2,PSMC2
ANAPC2,PSMC3
ANAPC2,PSMD1
ANAPC2,PSMD13
ANAPC2,UBE2E1
ANAPC4,ANAPC5
ANAPC4,CCNB1
ANAPC4,CDC16
ANAPC4,CDK2
ANAPC4,FZR1
ANAPC4,PSMB5
ANAPC4,PSMC2
ANAPC4,PSMC3
ANAPC4,PSMD1
ANAPC4,PSMD13
ANAPC4,UBE2E1
ANAPC5,SMAD1
ANAPC5,SMAD3
ANAPC5,TGFB1
AO7,RELA
AO7,RNF4
AO7,UBE2D1
APH1A,APP
APH1A,CTNNB1
APH1A,NOTCH2
APH1A,NOTCH3
APH2,APH1A
APH2,APP
APH2,CTNNB1
APH2,NOTCH2
APH2,NOTCH3
APP,CRKL
APP,FYN
APPL2,HDAC1
APPL2,HDAC2
APPL2,RBBP7
ARA54,FHL2
ARA54,NCOA3
ARA54,NCOR1
ARA54,PIAS1
ARA54,RAN
ARA54,UBE2D1
ARA54,UBE2E1
ARA54,UBE2L3
ARA55,CRK
ARA55,CRKL
ARA55,CSK
ARA55,FOS
ARA55,FYN
ARA55,GIT1
ARA55,NCOA3
ARA55,PAK1
ARA55,PTK2
ARA55,PTPN12
ARA55,PXN
ARA55,RAN
ARA55,RHOA
ARA55,SMAD3
ARA55,SRC
ARA55,TGFBR2
ARA70,FHL2
ARA70,HRAS
ARA70,NCOA3
ARA70,RAN
ARAF1,HRAS
ARAF1,PRKCA
ARAF1,PRKCB
ARF4,PLD2
ARNIP,ARRB2
ARNIP,CAV1
ARNIP,GIT1
ARNIP,PRKCA
ARNIP,PRKCB
ARRB2,DVL3
ARRB2,FYN
ARRB2,HGS
ASE1,CCNA2
ASE1,CCNB1
ASE1,CDC16
ASE1,NCOR1
BAF53A,HAT1
BAF53A,MYC
BAF53A,RUVBL1
BAF53A,SMARCA4
BAF53A,SMARCB1
BAF53A,SMARCC1
BAF53A,SMARCC2
BAF53A,SMARCE1
BAG1,HSPA8
BP75,CCNH
BP75,PCAF
BPAG1,CTNNB1
BPAG1,FOS
BPAG1,HDAC6
BTRC2,APH1A
BTRC2,BTRC
BTRC2,CTNNB1
BTRC2,CUL1
BTRC2,FBXW7
BTRC2,GSK3B
BTRC2,RBX1
BTRC2,SKP1
BTRC2,SKP2
BTRC2,UBE2L3
CAMK2D,SMAD3
CAMK2D,STAT3
CAMK2D,STAT5B
CASP2,CDK7
CASP2,FADD
CASP2,FYN
CASP2,HDAC1
CASP2,HDAC2
CASP2,NFKB2
CASP2,RIPK1
CASP3,CASP7
CASP3,CBL
CASP3,CBLB
CASP3,CD44
CASP3,CRK
CASP3,CSK
CASP3,CTNNB1
CASP3,EPS15
CASP3,FLNA
CASP3,FYN
CASP3,NOTCH2
CASP3,NOTCH3
CASP3,PIK3R2
CASP3,PLD2
CASP3,PRKCI
CASP3,SHC1
CASP3,STAT1
CASP3,TRAF2
CASP7,CSK
CAV1,CBL
CAV1,CRKL
CAV1,CSK
CAV1,ERBB2
CAV1,GRB10
CAV1,LYN
CAV1,RHOA
CAV1,SRC
CAV1,STAT1
CAV1,STAT5B
CBL,APC
CBL,CBLB
CBL,CDC25C
CBL,CRK
CBL,CRKL
CBL,CSK
CBL,CTNNB1
CBL,DAB2
CBL,EPOR
CBL,ERBB2
CBL,FLNA
CBL,FYN
CBL,GRB10
CBL,GRB2
CBL,HD
CBL,JAK1
CBL,KRT18
CBL,LYN
CBL,MET
CBL,NCK2
CBL,PIK3R2
CBL,PTPN12
CBL,SHC1
CBL,SRC
CBL,STAT1
CBL,STAT3
CBL,STAT5B
CBL,WASL
CBLB,ABL1
CBLB,APC
CBLB,CRK
CBLB,CRKL
CBLB,CSK
CBLB,DAB2
CBLB,EPOR
CBLB,ERBB2
CBLB,FLNA
CBLB,FYN
CBLB,GRB10
CBLB,GRB2
CBLB,HD
CBLB,JAK1
CBLB,LYN
CBLB,MET
CBLB,PIK3R2
CBLB,PTK2
CBLB,PTPN12
CBLB,SHC1
CBLB,SRC
CBLB,STAT1
CBLB,STAT3
CBLB,STAT5B
CBLB,WASL
CCNA2,CCNB1
CCNA2,CCNB2
CCNA2,CCND1
CCNA2,CCNH
CCNA2,CDK2
CCNA2,CDK4
CCNA2,CDK7
CCNA2,E2F4
CCNA2,HDAC1
CCNA2,ID2
CCNA2,MCM7
CCNA2,SP1
CCNB1,CCNB2
CCNB1,CDC25C
CCNB1,CDC42
CCNB1,CDK2
CCNB1,CDK4
CCNB1,CTNNB1
CCNB1,FLNA
CCNB1,FOXO1A
CCNB1,FZR1
CCNB1,GIT1
CCNB1,HDAC6
CCNB1,HES1
CCNB1,HSPA8
CCNB1,ID2
CCNB1,MCM7
CCNB1,PKN1
CCNB1,PRKCA
CCNB1,PSMC2
CCNB1,RAC1
CCNB1,TP53
CCNB1,TRAF2
CCNB2,ABL1
CCNB2,CCNH
CCNB2,CDC25C
CCNB2,CDK2
CCNB2,CDK7
CCNB2,CDKN1A
CCNB2,ETS1
CCNB2,FOXO1A
CCNB2,FZR1
CCNB2,ID3
CCNB2,MCM5
CCNB2,MCM7
CCNB2,PRKCA
CCNB2,PSMC2
CCNB2,RBL2
CCNB2,RPS11
CCND1,CDK4
CCND1,CDKN1A
CCND1,DYRK1A
CCND1,HDAC1
CCND1,HDAC2
CCND1,PRKCI
