# Protein-1,# Protein-2
4EBP1,AKT1
4EBP1,CCND1
14-3-3-zeta,AKT1
14-3-3-zeta,CSNK1A1
14-3-3-zeta,CTNNB1
14-3-3-zeta,PIK3R1
14-3-3-zeta,RAN
ABL1,CDC42
ABL1,CRK
ABL1,CTNNB1
ABL1,FOS
ABL1,FYN
ABL1,GRB2
ABL1,JUN
ABL1,NUP214
ABL1,SHC1
add1,ABL1
add1,AKT1
add1,CSK
AES,CCND1
AES,CTBP1
AES,CTNNB1
AES,HDAC1
AES,PRMT1
AES,RELA
AKT1,CDC23
AKT1,FYN
AKT1,STAT3
AKT1,STAT5B
AML1,NCOR1
AML1,TBP
ANAPC5,SMAD3
ANAPC5,TGFB1
ARA54,NCOR1
ARA54,RAN
ARA54,UBE2D1
ARA54,UBE2E1
ARA54,UBE2L3
ARA55,CRK
ARA55,CSK
ARA55,FOS
ARA55,FYN
ARA55,GIT1
ARA55,PTK2
ARA55,PTPN12
ARA55,RAN
ARA55,RHOA
ARA55,SMAD3
ARA55,SMAD7
ARA55,TGFBR2
ARA55,TRAF4
ARA70,RAN
ARRB1,HGS
ARRB2,FYN
ARRB2,HGS
BPAG1,CTNNB1
BPAG1,FOS
BPAG1,HDAC6
BRCA1,CCNB1
BRCA1,CCND1
BRCA1,CCNH
BRCA1,CDK4
BRCA1,FOS
BRCA1,FYN
BRCA1,GIT1
BRCA1,HDAC1
BRCA1,JUN
BRCA1,JUNB
BRCA1,MTA2
BRCA1,SMAD3
BRCA1,STAT3
BRCA1,STAT5B
CAMK2D,SMAD3
CAMK2D,STAT3
CAMK2D,STAT5B
CASP3,CASP7
CASP3,CRK
CASP3,CSK
CASP3,CTNNB1
CASP3,FLNA
CASP3,FYN
CASP3,JUP
CASP3,NOTCH3
CASP3,SHC1
CASP3,SNCA
CASP3,VAV1
CASP7,CSK
CAV1,CSK
CAV1,RHOA
CAV1,STAT5B
CAV1,VAV1
CCNB1,CDC23
CCNB1,CDC42
CCNB1,CDK4
CCNB1,CTNNB1
CCNB1,FLNA
CCNB1,FOXO1A
CCNB1,GIT1
CCNB1,HDAC6
CCNB1,HSPA8
CCNB1,ID2
CCNB1,PKN1
CCND1,CDK4
CCND1,CDKN1A
CCND1,HDAC1
CCND1,SMAD3
CCND1,TGFBR1
CCNH,CTNNB1
CCNH,ITGB4BP
CCNH,MCM5
CDC23,FOXO1A
CDC23,SNCA
CDC23,VAV1
CDC23,VIM
CDC37,HDAC1
CDC42,AKT1
CDC42,PIK3R1
CDC42,TNK2
CDC42,VAV1
CDK4,CDKN1A
CDK4,MCM5
CDK4,PRKACA
CDK4,SMAD3
CDK4,TGFB1
CDK4,TGFBR1
CDKN1A,HDAC1
CHK,CCND1
CHK,CDK4
CHK,CDKN1A
CHK,CSNK1A1
CHK,CSNK1D
CIAP2,CASP3
CIAP2,CASP7
CIAP2,NFKB1
CIAP2,RELA
CIN85,AP2B1
CIN85,CDC42
CIN85,DAB2
CIN85,GRB2
CIN85,HGS
CIN85,MAP3K4
CIN85,PIK3R1
CIR,HDAC1
CIR,HDAC6
CIR,MTA2
CIR,NCOR1
CIR,SAP18
CIR,SAP30
CIR,SNW1
CK2B,CSNK1A1
CK2B,CSNK1D
CK2B,FAF1
CLTC,HDAC1
CLTC,HGS
CLTC,PAPOLA
CLTC,SMAD3
CRK,CSK
CRK,FYN
CRK,GRB2
CRK,PTK2
CRK,STAT3
CRK,TNK2
CSK,ABL1
CSK,CTBP1
CSK,DAB2
CSK,EPOR
CSK,FYN
CSK,GRB2
CSK,KPNA2
CSK,PIK3CD
CSK,PRKAR1A
CSK,PTK2
CSK,SHC1
CSK,SMAD3
CSK,SNCA
CSK,STAT2
CSK,STAT3
CSK,STAT5B
CSK,TGFBR1
CSK,VAV1
CSNK1D,CSNK1A1
CTBP1,DAXX
CTBP1,HDAC1
CTBP1,PIK3CD
CTBP1,RELA
CTBP1,STAT2
CTBP1,ZFHX1B
CTBP2,HDAC1
CTNNB1,FYN
CTNNB1,HDAC1
CTNNB1,JUP
CTNNB1,SMAD3
CTNNB1,SMURF2
CTNNB1,TGFBR1
DAB2,FYN
DAB2,SMAD3
DAB2,TGFB1
DAP,PML
DAP,TNIP1
DAXX,HDAC1
DAXX,KPNA2
DAXX,SMAD3
DVL1,ARRB2
DVL1,CTNNB1
DVL1,CTNND1
DVL1,FZD4
DVL1,FZD5
DVL1,FZD6
DVL1,WNT5A
EBP1,KPNA3
EBP1,RPL30
EBP1,RPL4
EBP1,RPL8
EIF3S2,PSMD1
EIF3S2,SMARCA4
ENG,TGFB1
ENG,TGFBR1
ENG,TGFBR2
EPOR,ABL1
EPOR,FYN
EPOR,GRB2
EPOR,STAT3
EPOR,STAT5B
EPOR,VAV1
ERK1,AKT1
ERK1,ARRB2
ERK1,BRCA1
ERK1,CDC23
ERK1,CDK4
ERK1,CSK
ERK1,CTNNB1
ERK1,EPOR
ERK1,FOS
ERK1,FYN
ERK1,HDAC1
ERK1,HGS
ERK1,HSPA8
ERK1,ID2
ERK1,JUN
ERK1,JUNB
ERK1,MEF2A
ERK1,NUP214
ERK1,PLCG2
ERK1,PRKACA
ERK1,RAN
ERK1,RELA
ERK1,SF1
ERK1,SHC1
ERK1,SMAD3
ERK1,SMARCA4
ERK1,STAT3
ERK1,STAT5B
ERK1,TCF8
ERK1,TGFBR1
ERK1,VAV1
ERK1,VDR
FAF1,HDAC1
FBL,ITGB4BP
FBL,PRMT1
FBL,PSMD3
FKBP12,CCNB1
FKBP12,FYN
FKBP12,JUN
FKBP51,EIF3S2
FKBP51,SMAD3
FKBP51,TGFBR1
FLNA,FYN
FOS,HDAC1
FOS,JUN
FOS,JUNB
FOS,JUND
FOS,RELA
FOS,SMAD3
FOS,STAT3
FOS,STAT5B
FOS,VDR
FOS,ZFHX1B
FOXO1A,KPNA2
FOXO1A,SMAD3
FOXO1A,ZFHX1B
FRP2,FZD6
FYN,CDC42
FYN,GJA1
FYN,GRB2
FYN,HSPA8
FYN,MEF2A
FYN,PKN1
FYN,PTK2
FYN,PTPN12
FYN,RELA
FYN,RPL8
FYN,SHC1
FYN,SNCA
FYN,SOCS5
FYN,STAT2
FYN,STAT3
FYN,STAT5B
FYN,TGFB1
FYN,TGFBR2
FYN,VAV1
FYN,VIM
FZD4,WNT5A
GAPDH,SNCA
GAS1,GLI2
GAS1,RAB23
GIT1,GRB2
GIT1,KPNB1
GRB2,CDC42
GRB2,JUP
GRB2,PTK2
GRB2,PTPN12
GRB2,RELA
GRB2,SHC1
GRB2,STAT2
GRB2,STAT3
GRB2,STAT5B
GRB2,VAV1
HDAC1,HDAC6
HDAC1,JUN
HDAC1,KPNA2
HDAC1,MTA2
HDAC1,NCOR1
HDAC1,PAPOLA
HDAC1,PML
HDAC1,RELA
HDAC1,SMAD3
HDAC1,SMARCE1
HDAC1,SNCA
