# Protein-1,# Protein-2
4EBP1,AKT1
4EBP1,CCND1
4EBP1,EIF4E
4EBP1,MAPK14
4EBP1,TFDP1
14-3-3-zeta,AKT1
14-3-3-zeta,BAD
14-3-3-zeta,CDC25A
14-3-3-zeta,CDC25B
14-3-3-zeta,CSNK1A1
14-3-3-zeta,CTNNB1
14-3-3-zeta,FOXO4
14-3-3-zeta,KRT18
14-3-3-zeta,MST1R
14-3-3-zeta,PIK3R1
14-3-3-zeta,PRKCA
14-3-3-zeta,RAF1
14-3-3-zeta,RAN
A20,G3BP2
ABIN2,FLNA
ABIN2,LYN
ABIN2,NFKB1
ABIN2,NFKB2
ABIN2,REL
ABIN2,RELA
ABIN2,RIPK1
ABIN2,STK11
ABIN2,TAB2
ABIN2,TRAF2
ABL1,APP
ABL1,BCAR1
ABL1,CBL
ABL1,CCNA2
ABL1,CDC42
ABL1,CRK
ABL1,CRKL
ABL1,CTNNB1
ABL1,DOK1
ABL1,FOS
ABL1,FYN
ABL1,GRB2
ABL1,MDM2
ABL1,MYC
ABL1,NUP214
ABL1,PLCG1
ABL1,PLSCR1
ABL1,SHC1
ABL1,STAT5A
ABL1,TP53
ADAM10,ADAM17
ADAM10,APP
ADAM10,CD44
ADAM10,CDH1
ADAM10,CTNNB1
ADAM10,DLL4
ADAM10,EGF
ADAM10,EGFR
ADAM10,FHL2
ADAM10,FURIN
ADAM10,JAG1
ADAM10,JAG2
ADAM10,NOTCH1
ADAM10,NOTCH2
ADAM10,NOTCH3
ADAM10,PSEN1
ADAM17,APP
ADAM17,EGF
ADAM17,EGFR
ADAM17,ERBB2
ADAM17,FHL2
ADAM17,FURIN
ADAM17,NOTCH1
ADAM17,NOTCH2
ADAM17,NOTCH3
ADD1,ABL1
ADD1,AKT1
ADD1,BTK
ADD1,CSK
ADD1,CSNK1E
ADD1,FGR
ADD1,HIPK2
ADD1,JAK1
ADD1,LCK
ADD1,LYN
ADD1,PKN2
ADD1,PRKCA
ADD1,PRKCZ
ADD1,RAF1
ADD1,STK11
ADD1,TBK1
AES,AR
AES,CCND1
AES,CTBP1
AES,CTNNB1
AES,HDAC1
AES,LEF1
AES,MYC
AES,NOTCH1
AES,PRMT1
AES,RELA
AES,TLE1
AIP4,ARRB1
AIP4,ARRB2
AIP4,EGFR
AIP4,HGS
AIP4,JUNB
AIP4,KIT
AIP4,LYN
AIP4,MET
AIP4,NOTCH1
AIP4,NUMB
AIP4,SMAD3
AIP4,SMAD7
AKAP95,CASP3
AKAP95,CCND1
AKAP95,MYC
AKAP95,PRKAR2A
AKT1,CCNA2
AKT1,CDC23
AKT1,FYN
AKT1,NRAS
AKT1,PRKCA
AKT1,PRKCI
AKT1,PSEN1
AKT1,STAT3
AKT1,STAT5A
AML1,CTCF
AML1,HAT1
AML1,NCOR1
AML1,PPP2CA
AML1,RUVBL1
AML1,TBP
ANAPC1,ANAPC10
ANAPC1,ANAPC2
ANAPC1,CDC23
ANAPC2,ANAPC10
ANAPC2,ANAPC4
ANAPC2,ANAPC5
ANAPC2,ANAPC7
ANAPC2,CCNB1
ANAPC2,CDC16
ANAPC2,CDC23
ANAPC2,CDC27
ANAPC2,CDK2
ANAPC2,FZR1
ANAPC2,PSMB5
ANAPC2,PSMC2
ANAPC2,PSMC3
ANAPC2,PSMD1
ANAPC2,PSMD12
ANAPC2,PSMD13
ANAPC2,UBE2E1
ANAPC4,ANAPC1
ANAPC4,ANAPC10
ANAPC4,ANAPC5
ANAPC4,ANAPC7
ANAPC4,CCNB1
ANAPC4,CDC16
ANAPC4,CDC23
ANAPC4,CDC27
ANAPC4,CDK2
ANAPC4,FZR1
ANAPC4,PSMB5
ANAPC4,PSMC2
ANAPC4,PSMC3
ANAPC4,PSMD1
ANAPC4,PSMD12
ANAPC4,PSMD13
ANAPC4,UBE2E1
ANAPC5,SMAD1
ANAPC5,SMAD2
ANAPC5,SMAD3
ANAPC5,TGFB1
AO7,CDC34
AO7,RELA
AO7,RNF4
AO7,UBE2D1
APC,CDH1
APH1A,APP
APH1A,CTNNB1
APH1A,DLL4
APH1A,NOTCH1
APH1A,NOTCH2
APH1A,NOTCH3
APH1A,PLD1
APH1A,PSEN1
APH1A,PSEN2
APH2,ADAM10
APH2,APH1A
APH2,APP
APH2,CTNNB1
APH2,DLL4
APH2,NOTCH1
APH2,NOTCH2
APH2,NOTCH3
APH2,PLD1
APH2,PSEN1
APH2,PSEN2
APP,CRKL
APP,FYN
APP,STAT5A
APPL2,AKT2
APPL2,EGF
APPL2,HDAC1
APPL2,HDAC2
APPL2,MTA2
APPL2,PIK3CB
APPL2,PIK3R1
APPL2,RBBP7
APS,ABL1
APS,APC
APS,BCAR1
APS,BTK
APS,CAMK2G
APS,CASP3
APS,CAV1
APS,CBL
APS,CBLB
APS,CRKL
APS,CSK
APS,DOK1
APS,EGFR
APS,ERBB2
APS,FGR
APS,FYN
APS,GRAP
APS,GRB10
APS,GRB2
APS,GRB7
APS,ITGB4
APS,JAK1
APS,KIT
APS,LCK
APS,LYN
APS,MET
APS,MST1R
APS,NCK2
APS,PIK3R2
APS,PSEN1
APS,PSEN2
APS,PTK2
APS,PTK6
APS,SNCA
APS,SOCS3
APS,STAT1
APS,STAT2
APS,STAT3
APS,STAT5A
APS,TEC
APS,WASL
AR,AKT1
AR,BAG1
AR,BRCA1
AR,CCND1
AR,CTNNB1
AR,EGFR
AR,ERBB2
AR,FHL2
AR,NCOA2
AR,NCOA3
AR,NCOR1
AR,SMAD3
AR,SP1
AR,STAT3
AR,TP53
AR,UXT
ARA54,AR
ARA54,ESR1
ARA54,FHL2
ARA54,NCOA3
ARA54,NCOR1
ARA54,PIAS1
ARA54,RAN
ARA54,SPDEF
ARA54,SVIL
ARA54,UBE2D1
ARA54,UBE2E1
ARA54,UBE2L3
ARA55,AR
ARA55,CRK
ARA55,CRKL
ARA55,CSK
ARA55,FOS
ARA55,FYN
ARA55,GIT1
ARA55,NCOA2
ARA55,NCOA3
ARA55,PAK1
ARA55,PTK2
ARA55,PTPN12
ARA55,PXN
ARA55,RAN
ARA55,RHOA
ARA55,SMAD3
ARA55,SMAD7
ARA55,SPDEF
ARA55,SVIL
ARA55,TGFBR2
ARA55,TRAF4
ARA70,AR
ARA70,ESR1
ARA70,FHL2
ARA70,HRAS
ARA70,NCOA2
ARA70,NCOA3
ARA70,NRAS
ARA70,RAN
ARA70,SPDEF
ARA70,SVIL
ARA160,AR
ARA160,FHL2
ARA160,PIAS1
ARA160,RAN
ARA160,SMARCA4
ARA160,SPDEF
ARAF1,HRAS
ARAF1,NRAS
ARAF1,PIK3R1
ARAF1,PRKCA
ARAF1,PRKCB
ARAF1,PRKCD
ARF4,PLD2
ARNIP,AR
ARNIP,ARRB1
ARNIP,ARRB2
ARNIP,CAV1
ARNIP,GIT1
ARNIP,PRKCA
ARNIP,PRKCB
