# Protein-1,# Protein-2
14-3-3-zeta,AKT1
14-3-3-zeta,CDC25A
14-3-3-zeta,CDC25B
14-3-3-zeta,CSNK1A1
14-3-3-zeta,CTNNB1
14-3-3-zeta,KRT18
14-3-3-zeta,PIK3R1
14-3-3-zeta,RAF1
14-3-3-zeta,RAN
ABL1,APP
ABL1,CBL
ABL1,CDC42
ABL1,CRKL
ABL1,CTNNB1
ABL1,FOS
ABL1,GRB2
ABL1,MDM2
ABL1,MYC
ABL1,NUP214
ABL1,PLSCR1
ABL1,SHC1
ABL1,STAT5A
ABL1,TP53
ABL1,YAP1
ACVRL1,CAV1
ACVRL1,SMAD1
ACVRL1,SMAD2
ACVRL1,SMAD3
ACVRL1,SMAD4
ACVRL1,TGFBR1
ACVRL1,TGFBR2
ADAM17,APP
ADAM17,EGFR
ADAM17,FHL2
ADAM17,FURIN
ADAM17,NOTCH1
ADAM17,NOTCH2
ADAM17,NOTCH3
ADD1,ABL1
ADD1,AKT1
ADD1,CSNK1E
ADD1,HIPK2
ADD1,JAK1
ADD1,JAK2
ADD1,LYN
ADD1,PKN2
ADD1,PRKCZ
ADD1,RAF1
ADD1,STK11
AES,CCND1
AES,CTNNB1
AES,HDAC1
AES,MYC
AES,NOTCH1
AES,RELA
AES,TLE1
AIP4,ARRB1
AIP4,EGFR
AIP4,JUNB
AIP4,KIT
AIP4,LYN
AIP4,MET
AIP4,NOTCH1
AIP4,NUMB
AIP4,SMAD3
AKT1,CDC23
AKT1,JAK2
AKT1,NRAS
AKT1,STAT3
AKT1,STAT5A
AKT1,STAT5B
AML1,NCOR1
AML1,PPP2CA
ANAPC2,ANAPC5
ANAPC2,CCNB1
ANAPC2,CDC23
ANAPC2,CDC27
ANAPC2,PSMB5
ANAPC2,PSMC2
ANAPC2,PSMC3
ANAPC2,PSMD1
ANAPC2,PSMD12
ANAPC5,SMAD1
ANAPC5,SMAD2
ANAPC5,SMAD3
APC,CDH1
APH1A,APP
APH1A,CTNNB1
APH1A,NOTCH1
APH1A,NOTCH2
APH1A,NOTCH3
APH1A,PLD1
APH1A,PSEN2
APH2,APH1A
APH2,APP
APH2,CTNNB1
APH2,NOTCH1
APH2,NOTCH2
APH2,NOTCH3
APH2,PLD1
APH2,PSEN2
APP,CRKL
APP,JAK2
APP,STAT5A
APPL2,AKT2
APPL2,HDAC1
APPL2,HDAC2
APPL2,PIK3R1
ARA54,FHL2
ARA54,NCOA3
ARA54,NCOR1
ARA54,PIAS1
ARA54,RAN
ARA54,SPDEF
ARA54,SVIL
ARA54,UBE2D1
ARA54,UBE2L3
ARA70,FHL2
ARA70,NCOA3
ARA70,NRAS
ARA70,RAN
ARA70,SPDEF
ARA70,SVIL
ARA160,FHL2
ARA160,PIAS1
ARA160,RAN
ARA160,SMARCA4
ARA160,SPDEF
ARAF1,NRAS
ARAF1,PIK3R1
ARAF1,PRKCD
ARF4,PLD2
ASE1,CCNB1
ASE1,CDC27
ASE1,NCOR1
ATF1,CAPN3
ATF1,FOS
ATF1,HDAC1
ATF1,HDAC2
ATF1,KPNA2
ATF1,PAX5
ATF1,PIAS1
ATF1,PKN2
ATF1,SMAD2
ATF1,SMAD3
ATF1,STAT1
ATF3,FOS
ATF3,FOSB
BAG1,HSPA8
BCL3,NOTCH2
BCL3,REL
BCL3,RELA
BCL3,UBE2D1
BPAG1,CTNNB1
BPAG1,FOS
BPAG1,HDAC6
BPAG1,ITGB4
BPAG2,CTNND1
BPAG2,DSP
BPAG2,HDAC1
BPAG2,ITGA6
BPAG2,ITGB4
BPAG2,KRT18
BRCA1,CCNB1
BRCA1,CCND1
BRCA1,CDC25A
BRCA1,CDK4
BRCA1,CRKL
BRCA1,FOS
BRCA1,HDAC1
BRCA1,HDAC2
BRCA1,JAK2
BRCA1,JUNB
BRCA1,KIT
BRCA1,PCAF
BRCA1,SMAD1
BRCA1,SMAD2
BRCA1,SMAD3
BRCA1,SP1
BRCA1,STAT1
BRCA1,STAT3
BRCA1,STAT5A
BRCA1,STAT5B
BRCA1,TP53
BTRC2,APH1A
BTRC2,BRCA1
BTRC2,BTRC
BTRC2,CTNNB1
BTRC2,CUL1
BTRC2,FBXW7
BTRC2,SKP1
BTRC2,UBE2L3
CAMK2G,LYN
CAPN3,RELA
CAPN3,RPL8
CASP2,CDK7
CASP2,HDAC1
CASP2,HDAC2
CASP2,NFKB2
CASP2,PSMD12
CASP2,RIPK1
CAV1,CBL
CAV1,CRKL
CAV1,EGFR
CAV1,JAK2
CAV1,KIT
CAV1,LYN
CAV1,RHOA
CAV1,STAT1
CAV1,STAT5A
CAV1,STAT5B
CBL,APC
CBL,CBLB
CBL,CDC23
CBL,CDC25A
CBL,CRKL
CBL,CTNNB1
CBL,DAB2
CBL,EGFR
CBL,FLNA
CBL,GAB1
CBL,GRB2
CBL,GRB7
CBL,ITGB4
CBL,JAK1
CBL,JAK2
CBL,KIT
CBL,KRT18
CBL,LYN
CBL,MET
CBL,PARD3
CBL,PRKCZ
CBL,PTPN12
CBL,RAF1
CBL,SHC1
CBL,SOS1
CBL,SOS2
CBL,STAT1
CBL,STAT3
CBL,STAT5A
CBL,STAT5B
CBL,SVIL
CBL,TGFBR1
CBLB,ABL1
CBLB,APC
CBLB,CRKL
CBLB,DAB2
CBLB,EGFR
CBLB,FLNA
CBLB,GAB1
CBLB,GRB2
CBLB,GRB7
CBLB,ITGB4
CBLB,JAK1
CBLB,JAK2
CBLB,KIT
CBLB,LYN
CBLB,MET
CBLB,PTK2
CBLB,PTPN12
CBLB,SHC1
CBLB,SOS1
CBLB,SOS2
CBLB,STAT1
CBLB,STAT3
CBLB,STAT5A
CBLB,STAT5B
CBLB,SVIL
CCNB1,CDC23
CCNB1,CDC25A
CCNB1,CDC42
