# Protein-1,# Protein-2
14-3-3-zeta,AKT1
14-3-3-zeta,CDC25B
14-3-3-zeta,CTNNB1
14-3-3-zeta,KRT18
14-3-3-zeta,PRKCA
14-3-3-zeta,RAF1
14-3-3-zeta,RAN
ABIN2,FLNA
ABIN2,NFKB1
ABIN2,FHL2
ABIN2,RIPK1
ABIN2,STK11
ABIN2,TAB2
ABIN2,TRAF2
ABL1,APP
ABL1,CDC42
ABL1,CRK
ABL1,CRKL
ABL1,CTNNB1
ABL1,DOK1
ABL1,FOS
ABL1,GRB2
ABL1,MYC
ABL1,NUP214
ABL1,PLCG1
ABL1,PLSCR1
ABL1,SHC1
ABL1,STAT5A
ABL1,TP53
ABL1,YAP1
ADAM10,APP
ADAM10,CD44
ADAM10,CDH1
ADAM10,CTNNB1
ADAM10,DLL4
ADAM10,FHL2
ADAM10,NOTCH2
ADD1,ABL1
ADD1,AKT1
ADD1,BTK
ADD1,CSK
ADD1,PRKCA
ADD1,RAF1
ADD1,STK11
AES,CCND1
AES,CREBBP
AES,CTBP1
AES,CTNNB1
AES,HDAC1
AES,MYC
AES,RELA
AES,TLE1
AIP4,ARRB1
AIP4,ARRB2
AIP4,HGS
AIP4,JUNB
AIP4,NUMB
AKT1,CDC23
AKT1,NRAS
AKT1,PRKCA
AKT1,STAT3
AKT1,STAT5A
AKT1,STAT5B
ANAPC2,ANAPC5
ANAPC2,CCNB1
ANAPC2,CDC16
ANAPC2,CDC23
ANAPC2,PSMB5
ANAPC2,PSMC2
ANAPC2,PSMC3
ANAPC2,PSMD1
ANAPC2,PSMD13
ANAPC5,SMAD1
ANAPC5,SMAD2
AO7,NKD1
AO7,RELA
AO7,RNF4
APC,CDH1
APH1A,APP
APH1A,CTNNB1
APH1A,DLL4
APH1A,NOTCH2
APH1A,PLD1
APH1A,TRAF6
APH2,ADAM10
APH2,APH1A
APH2,APP
APH2,CTNNB1
APH2,DLL4
APH2,NOTCH2
APH2,PLD1
APH2,TRAF6
APP,CRKL
APP,STAT5A
ARA55,CRK
ARA55,CRKL
ARA55,CSK
ARA55,FOS
ARA55,PTK2
ARA55,PTPN12
ARA55,PXN
ARA55,RAN
ARA55,RHOA
ARA55,SVIL
ARA55,TGFBR2
ARA70,FHL2
ARA70,HRAS
ARA70,NRAS
ARA70,RAN
ARA70,SVIL
ARAF1,HRAS
ARAF1,NRAS
ARAF1,PRKCA
ARAF1,PRKCD
ARF4,PLD2
ARRB1,HGS
ARRB2,DVL3
ARRB2,HGS
ARRB2,NRAS
ASE1,CCNB1
ASE1,CDC16
ASE1,NCOR1
ATF3,FOS
ATF3,FOSB
AXIN1,APC
AXIN1,CREBBP
AXIN1,DOK1
AXIN1,GRB2
AXIN1,JUP
AXIN1,SMAD1
AXIN1,SMAD2
AXIN1,TGFBR1
BAG1,HSPA8
BPAG1,CTNNB1
BPAG1,FOS
