# Protein-1,# Protein-2
4EBP1,AKT1
4EBP1,CCND1
4EBP1,EIF4E
4EBP1,MAPK14
4EBP1,PTEN
4EBP1,TFDP1
14-3-3-zeta,AKT1
14-3-3-zeta,CDC25A
14-3-3-zeta,CDC25B
14-3-3-zeta,CSNK1A1
14-3-3-zeta,CTNNB1
14-3-3-zeta,FOXO4
14-3-3-zeta,KRT18
14-3-3-zeta,PIK3R1
14-3-3-zeta,PRKCA
14-3-3-zeta,RAF1
14-3-3-zeta,RAN
A20,G3BP2
ABIN2,FLNA
ABIN2,IKBKG
ABIN2,LYN
ABIN2,NFKB1
ABIN2,RELA
ABIN2,RIPK1
ABIN2,STK11
ABIN2,TAB2
ABIN2,TRAF2
ABL1,APP
ABL1,BCAR1
ABL1,CCNA2
ABL1,CDC42
ABL1,CRK
ABL1,CRKL
ABL1,CTNNB1
ABL1,DOK1
ABL1,FOS
ABL1,FYN
ABL1,GRB2
ABL1,MYC
ABL1,NUP214
ABL1,PLCG1
ABL1,PLSCR1
ABL1,SHC1
ABL1,SRC
ABL1,TP53
ABL1,YAP1
ADAM10,APP
ADAM10,CD44
ADAM10,CDH1
ADAM10,CTNNB1
ADAM10,EGFR
ADAM10,FHL2
ADAM10,FURIN
ADAM10,JAG1
ADAM10,NOTCH2
ADAM10,NOTCH3
ADAM10,PSEN1
ADD1,ABL1
ADD1,AKT1
ADD1,CSK
ADD1,CSNK1E
ADD1,FGR
ADD1,HIPK2
ADD1,JAK1
ADD1,JAK2
ADD1,LYN
ADD1,PKN2
ADD1,PRKCA
ADD1,PRKCZ
ADD1,RAF1
ADD1,STK11
ADD1,TBK1
AES,CCND1
AES,CREBBP
AES,CTBP1
AES,CTNNB1
AES,HDAC1
AES,LEF1
AES,MYC
AES,PRMT1
AES,RELA
AES,TLE1
AIP4,ARRB1
AIP4,ARRB2
AIP4,EGFR
AIP4,HGS
AIP4,JUNB
AIP4,KIT
AIP4,LYN
AIP4,MET
AIP4,NUMB
AIP4,SH3GL2
AIP4,SMAD3
AKT1,CCNA2
AKT1,CDC23
AKT1,FYN
AKT1,JAK2
AKT1,NRAS
AKT1,PRKCA
AKT1,PSEN1
AKT1,STAT3
AKT1,STAT5B
ANAPC4,ANAPC5
ANAPC4,CCNB1
ANAPC4,CDC16
ANAPC4,CDC23
ANAPC4,CDC27
ANAPC4,FZR1
ANAPC4,PSMB5
ANAPC4,PSMC2
ANAPC4,PSMC3
ANAPC4,PSMD1
ANAPC4,PSMD12
ANAPC4,PSMD13
ANAPC5,SMAD2
ANAPC5,SMAD3
ANAPC5,TGFB1
AP2,JAK2
APC,CDH1
APH1A,APP
APH1A,CTNNB1
APH1A,NOTCH2
APH1A,NOTCH3
APH1A,PSEN1
APH1A,PSEN2
APH2,ADAM10
APH2,APH1A
APH2,APP
APH2,CTNNB1
APH2,NOTCH2
APH2,NOTCH3
APH2,PSEN1
APH2,PSEN2
APP,CRKL
APP,FYN
APP,JAK2
APP,PRKCG
APS,ABL1
APS,APC
APS,BCAR1
APS,CAMK2G
APS,CASP3
APS,CAV1
APS,CBLB
APS,CREBBP
APS,CRKL
APS,CSK
APS,DOK1
APS,EGFR
APS,EPOR
APS,ERBB2
APS,FGR
APS,FYN
APS,GRB10
APS,GRB2
APS,ITGB4
APS,JAK1
APS,JAK2
APS,KIT
APS,LYN
APS,MET
APS,NCK2
APS,PIK3R2
APS,PSEN1
APS,PSEN2
APS,PTK2
APS,SRC
APS,STAT1
APS,STAT2
APS,STAT3
APS,STAT5B
APS,WASL
ARA54,FHL2
ARA54,NCOA3
ARA54,NCOR1
ARA54,PIAS1
ARA54,RAN
ARA54,SVIL
ARA54,UBE2D1
ARA54,UBE2L3
ARA55,CRK
ARA55,CRKL
ARA55,CSK
ARA55,FOS
ARA55,FYN
ARA55,GIT1
ARA55,NCOA3
ARA55,PAK1
ARA55,PTK2
ARA55,PTPN12
ARA55,PXN
ARA55,RAN
ARA55,RHOA
ARA55,SMAD3
ARA55,SRC
ARA55,SVIL
ARA55,TGFBR2
ARA55,TRAF4
ARA70,FHL2
ARA70,HRAS
ARA70,NCOA3
ARA70,NRAS
ARA70,RAN
ARA70,SVIL
ARAF1,HRAS
ARAF1,NRAS
ARAF1,PIK3R1
ARAF1,PRKCA
ARAF1,PRKCB
ARAF1,PRKCD
ARAF1,PRKCG
ARF4,PLD2
ARNIP,ARRB1
ARNIP,ARRB2
ARNIP,CAV1
ARNIP,GIT1
ARNIP,PRKCA
ARNIP,PRKCB
ARNIP,PRKCD
ARNIP,PRKCG
ARRB1,HGS
ARRB2,DVL3
ARRB2,FYN
ARRB2,HGS
ARRB2,NRAS
ASCL1,HEY1
ATF1,CAPN3
ATF1,CTBP1
ATF1,FOS
ATF1,HDAC1
ATF1,HDAC2
ATF1,KPNA2
ATF1,PIAS1
ATF1,PKN2
ATF1,SMAD2
ATF1,SMAD3
ATF1,STAT1
ATF1,TCF3
ATF1,YY1
ATF3,FOS
AXAM2,AXIN1
AXAM2,DVL1
AXAM2,DVL2
AXAM2,DVL3
AXAM2,IKBKG
AXAM2,KPNB1
AXAM2,NUP153
AXAM2,PML
AXAM2,RAN
AXAM2,SUMO1
AXAM2,SUMO2
AXIN1,APC
AXIN1,CREBBP
AXIN1,DOK1
AXIN1,GRB2
AXIN1,JUP
AXIN1,SMAD2
AXIN1,SMAD3
AXIN1,SMURF2
BAG1,HSPA8
BCAR1,CASP3
BCAR1,CASP8
BCAR1,CAV1
BCAR1,CBLB
BCAR1,CD44
BCAR1,CDC2
BCAR1,CRK
BCAR1,CRKL
BCAR1,CSK
BCAR1,CTNNB1
BCAR1,DOK1
BCAR1,EPOR
BCAR1,EPS15
BCAR1,FGR
BCAR1,FYN
BCAR1,GRB10
BCAR1,GRB2
BCAR1,IQGAP2
BCAR1,ITGB4
BCAR1,JAK2
BCAR1,JUP
BCAR1,KIT
BCAR1,LYN
BCAR1,NCK2
BCAR1,PIK3R2
BCAR1,PLD2
BCAR1,PRKCZ
BCAR1,PTK2
BCAR1,RAF1
BCAR1,SHC1
BCAR1,SMAD2
BCAR1,SMAD3
BCAR1,SNX2
BCAR1,STAT1
BCAR1,STAT3
BCAR1,STAT5B
BCAR1,WASL
BCL3,NOTCH2
BCL3,RELA
BCL3,RELB
BCL3,UBE2D1
BCL7A,CDC25A
BCL7A,FOXO4
BCL7A,PDCD2
BCL7A,SH3GL2
BP75,TBP
BPAG1,CTNNB1
BPAG1,FOS
BPAG1,HDAC6
BPAG1,ITGB4
BPAG2,CD151
BPAG2,CTNND1
BPAG2,HDAC1
BPAG2,ITGA6
BPAG2,ITGB4
BPAG2,KRT18
BRCA1,CCNB1
BRCA1,CCNB2
BRCA1,CCND1
BRCA1,CDC25A
BRCA1,CDK4
BRCA1,CREBBP
BRCA1,CRKL
BRCA1,FOS
BRCA1,FYN
BRCA1,FZR1
