# Protein-1,# Protein-2
14-3-3-zeta,CDC25B
14-3-3-zeta,CSNK1A1
14-3-3-zeta,CTNNB1
14-3-3-zeta,PIK3R1
14-3-3-zeta,PRKCA
14-3-3-zeta,RAF1
14-3-3-zeta,RAN
A20,G3BP2
ABIN2,FLNA
ABIN2,NFKB1
ABIN2,REL
ABIN2,RELA
ABIN2,STK11
ABIN2,TRAF2
ABL1,APP
ABL1,BCAR1
ABL1,CDC42
ABL1,CRKL
ABL1,CTNNB1
ABL1,FOS
ABL1,GRB2
ABL1,MYC
ABL1,NUP214
ABL1,PLCG1
ABL1,PLSCR1
ABL1,SHC1
ABL1,STAT5A
ABL1,TP53
ADAM10,APP
ADAM10,CD44
ADAM10,CDH1
ADAM10,CTNNB1
ADAM10,EGF
ADAM10,EGFR
ADAM10,NOTCH2
ADAM10,PSEN1
AIP4,EGFR
AIP4,HGS
AIP4,MET
AIP4,NUMB
AIP4,SMAD3
AIP4,SMAD7
ANAPC5,SMAD2
ANAPC5,SMAD3
ANAPC5,TGFB1
ANKRD6,CTNNB1
ANKRD6,DAAM1
ANKRD6,DVL2
ANKRD6,DVL3
ANKRD6,FZD1
ANKRD6,FZD4
ANKRD6,FZD5
ANKRD6,FZD6
ANKRD6,MAGI3
ANKRD6,WNT5A
APC,CDH1
APH1A,APP
APH1A,CTNNB1
APH1A,NOTCH2
APH1A,PLD1
APH1A,PSEN1
APH1A,PSEN2
APH1A,TRAF6
APH2,ADAM10
APH2,APH1A
APH2,APP
APH2,CTNNB1
APH2,NOTCH2
APH2,PLD1
APH2,PSEN1
APH2,PSEN2
APH2,TRAF6
APP,CRKL
APP,STAT5A
ARA54,NCOA3
ARA54,NCOR1
ARA54,RAN
ARA54,SVIL
ARA54,UBE2L3
ARA70,NCOA3
ARA70,NRAS
ARA70,RAN
ARA70,SVIL
ARA160,RAN
ARA160,SMARCA4
ARAF1,NRAS
ARAF1,PIK3R1
ARAF1,PRKCA
ARF4,PLD2
ATF3,FOS
AXAM2,DVL2
AXAM2,DVL3
AXAM2,KPNB1
AXAM2,PML
AXAM2,RAN
AXAM2,SUMO1
AXAM2,SUMO2
BAG1,HSPA8
BCAR1,CASP3
BCAR1,CASP8
BCAR1,CAV1
BCAR1,CBLB
BCAR1,CD44
BCAR1,CRKL
BCAR1,CTNNB1
BCAR1,EPOR
BCAR1,EPS15
BCAR1,GAB1
BCAR1,GRB10
BCAR1,GRB2
BCAR1,IQGAP2
BCAR1,PLD2
BCAR1,PRKCI
BCAR1,RAF1
BCAR1,SHC1
BCAR1,SMAD2
BCAR1,SMAD3
BCAR1,SNX2
BCAR1,STAT1
BCAR1,STAT3
BCAR1,STAT5A
BPAG1,CTNNB1
BPAG1,FOS
BPAG1,HDAC6
CAMK2D,CREBBP
CAMK2D,SMAD3
CAMK2D,STAT3
CAMK2D,STAT5A
CAPN3,RELA
CAPN3,RPL8
CASP2,CASP8
CASP2,CDK7
CASP2,FADD
CASP2,HDAC1
CASP2,HDAC2
CASP2,PSEN1
CASP2,PSMD12
CASP2,TRADD
CASP3,CASP7
CASP3,CASP8
CASP3,CBLB
CASP3,CD44
CASP3,CTNNB1
CASP3,EPS15
CASP3,FLNA
CASP3,IQGAP2
CASP3,NOTCH2
CASP3,NOTCH4
CASP3,PLCG1
CASP3,PLD2
CASP3,PRKCI
CASP3,PSEN1
CASP3,RAF1
CASP3,SHC1
CASP3,STAT1
CASP3,TRAF2
CASP8,FADD
CASP8,PSEN1
CASP8,PSMD12
CASP8,TRADD
CAV1,CRKL
CAV1,EGFR
CAV1,GRB10
CAV1,RHOA
CAV1,STAT1
CAV1,STAT5A
CBLB,ABL1
CBLB,APC
CBLB,CRKL
CBLB,DAB2
CBLB,EGF
CBLB,EGFR
CBLB,EPOR
CBLB,FLNA
CBLB,GAB1
CBLB,GRB10
CBLB,GRB2
CBLB,GRB7
CBLB,JAK1
CBLB,MET
CBLB,PTPN12
CBLB,SHC1
CBLB,SOS2
CBLB,STAT1
CBLB,STAT3
CBLB,STAT5A
CBLB,SVIL
CCND1,CDK4
CCND1,CDKN1A
CCND1,DYRK1A
CCND1,HDAC1
CCND1,HDAC2
CCND1,PRKCI
CCND1,SMAD2
CCND1,SMAD3
CCNH,CDK2
CCNH,CDK7
CCNH,CTNNB1
CCNH,MCM5
CD44,MMP7
CD44,PRKCI
CD44,RAF1
CD44,SMAD2
CD44,SMAD3
CD44,STAT5A
CD44,TGFB1
CDC16,CDC23
CDC16,CDK2
CDC16,CDK7
CDC16,CTNNB1
CDC16,MCM5
CDC16,PSMC2
CDC23,CDK2
CDC23,PARD3
CDC23,PRKCA
CDC23,PRKCI
CDC23,PSMC2
CDC23,RAF1
CDC23,VIM
CDC37,HDAC1
CDC37,HDAC2
CDC42,IQGAP2
CDC42,PIK3R1
CDC42,PLD1
CDC42,PRKCI
CDK2,CDK4
CDK2,CDK7
CDK2,CDKN1A
CDK2,CREBBP
CDK2,CTNNB1
CDK2,HDAC2
CDK2,ID2
CDK2,MCM5
CDK2,MCM7
CDK2,PRKCA
CDK2,PSMC2
CDK2,SMAD2
CDK2,STAT1
CDK2,STAT5A
CDK4,CDK6
CDK4,CDKN1A
CDK4,CREBBP
CDK4,CTCF
CDK4,MCM5
CDK4,MCM7
CDK4,SIN3A
CDK4,SMAD2
CDK4,SMAD3
CDK4,TGFB1
CDK6,SMAD2
CDK6,SMAD3
CDK6,TGFB1
CDK7,APC
CDK7,CREBBP
CDK7,FRAP1
CDK7,ID2
CDK7,ID3
CDK7,MAPK14
CDK7,TP53
CDKN1A,HDAC1
CDKN1A,HDAC2
CEACAM1,CRKL
CEACAM1,STAT5A
CIAP1,CASP3
CIAP1,CASP7
CIAP1,CASP8
CIAP1,CYLD
CIAP1,FADD
CIAP1,NFKB1
CIAP1,TRADD
CIAP1,TRAF1
CIAP1,TRAF2
CIAP1,TRAF6
CIAP2,CASP2
CIAP2,CASP3
CIAP2,CASP7
CIAP2,CASP8
CIAP2,FADD
CIAP2,NFKB1
CIAP2,RELA
CIAP2,TRADD
CIAP2,TRAF1
CIAP2,TRAF2
CIAP2,TRAF6
CIR,HDAC1
CIR,HDAC2
CIR,HDAC6
CIR,NCOR1
CIR,SNW1
CK2A1,CTNNB1
CK2A1,DVL2
CK2A1,DVL3
CK2A1,FOS
CK2A1,HDAC1
CK2A1,HDAC2
CK2A1,MYC
CK2A1,PLD2
CK2A1,RBBP7
CK2A1,RELA
CK2A1,SIN3A
CK2B,CSNK1A1
CK2B,CSNK1D
CK2B,MTIF2
CLTC,EPS15
CLTC,HDAC1
CLTC,HDAC2
CLTC,HGS
CLTC,PAPOLA
CLTC,SMAD2
CLTC,SMAD3
COPS3,COPS5
COPS3,NRAS
COPS3,PSMD12
COPS3,PSMD4
COPS5,PSMD12
COPS5,SMAD2
COPS5,SMAD3
CREB,CAMK2G
CREB,CREBBP
CREB,FOS
CREB,MITF
CREBBP,CTNNB1
CREBBP,ETS1
CREBBP,HDAC1
CREBBP,MYC
CREBBP,NCOA3
CREBBP,NFKB1
CREBBP,PML
CREBBP,RELA
CREBBP,SMAD2
CREBBP,SMAD4
CREBBP,SNIP1
CREBBP,STAT1
CREBBP,STAT3
CREBBP,TP53
CREBBP,VDR
CRKL,CDC42
CRKL,CREBBP
CRKL,EGFR
CRKL,EPOR
CRKL,GAB1
CRKL,GLG1
CRKL,GRB10
CRKL,GRB14
CRKL,GRB2
CRKL,GRB7
CRKL,JAK1
CRKL,MET
CRKL,PPP2CA
CRKL,PRKCA
CRKL,PTPN12
CRKL,RAC1
CRKL,RAF1
CRKL,SMAD3
CRKL,SOCS5
CRKL,STAT1
CRKL,STAT3
CRKL,STAT5A
CRKL,TRAF2
CRM1,APC
CRM1,CTNNB1
CRM1,GLI1
CRM1,HDAC1
CRM1,NFKB1
