# Protein-1,# Protein-2
4EBP1,AKT1
4EBP1,EIF4E
4EBP1,MAPK14
14-3-3-zeta,AKT1
14-3-3-zeta,BAD
14-3-3-zeta,CTNNB1
14-3-3-zeta,KRT18
14-3-3-zeta,PIK3R1
14-3-3-zeta,RAN
A20,G3BP2
ABIN2,NFKB1
ABIN2,RELA
ABIN2,TAB2
ADD1,AKT1
ADD1,BTK
ADD1,CSK
ADD1,CSNK1E
ADD1,JAK1
ADD1,JAK2
ADD1,PKN2
AIP4,ARRB1
AIP4,EGFR
AIP4,JUNB
AIP4,NUMB
AKT1,CCNA2
AKT1,CDC23
AKT1,FYN
AKT1,JAK2
AKT1,NRAS
AKT1,PRKCI
AKT1,PSEN1
AKT1,STAT3
AML1,CTCF
AML1,HAT1
AML1,NCOR1
AML1,PPP2CA
AML1,TBP
ANAPC5,SMAD2
AP2,JAK2
APC,CDH1
APH1A,APP
APH1A,CTNNB1
APH1A,NOTCH2
APH1A,NOTCH3
APH1A,PLD1
APH1A,PSEN1
APH2,APH1A
APH2,APP
APH2,CTNNB1
APH2,NOTCH2
APH2,NOTCH3
APH2,PLD1
APH2,PSEN1
APP,CRKL
APP,FYN
APP,JAK2
APPL2,AKT2
APPL2,HDAC2
APPL2,HNF4A
APPL2,PIK3R1
APPL2,RBBP7
ARA54,NCOR1
ARA54,PIAS1
ARA54,RAN
ARA54,SVIL
ARA54,UBE2D1
ARA54,UBE2E1
ARA54,UBE2L3
ARA55,CRK
ARA55,CRKL
ARA55,CSK
ARA55,FOS
ARA55,FYN
ARA55,NCOA2
ARA55,PTK2
ARA55,PTPN12
ARA55,PXN
ARA55,RAN
ARA55,RHOA
ARA55,SVIL
ARA55,TGFBR2
ARA55,TRAF4
ARA70,NCOA2
ARA70,NRAS
ARA70,RAN
ARA70,SVIL
ARA160,PIAS1
ARA160,RAN
ARA160,SMARCA4
ARAF1,NRAS
ARAF1,PIK3R1
ARNIP,ARRB1
ARNIP,CAV1
ATF1,CAPN3
ATF1,CTBP1
ATF1,FOS
ATF1,HDAC2
ATF1,KPNA2
ATF1,PIAS1
ATF1,PKN2
ATF1,SMAD2
ATF1,STAT1
ATF1,TCF3
ATF1,YY1
ATF3,FOS
ATF3,FOSB
BAD,CDC23
BAD,NRAS
BAG1,HSPA8
BP75,CCNH
BP75,TBP
BPAG1,CTNNB1
BPAG1,FOS
BPAG1,HDAC6
BTK,CASP3
BTK,CASP7
BTK,CASP9
BTK,CBLB
BTK,CDC2
BTK,CDK2
BTK,CDK7
BTK,CRK
BTK,CRKL
BTK,CSK
BTK,EGFR
BTK,FYN
BTK,GRB2
BTK,HES1
BTK,JAK1
BTK,JAK2
BTK,PIK3R2
BTK,PTK2
BTK,SHC1
BTK,SOCS3
BTK,SOCS5
BTK,STAT1
BTK,STAT3
BTRC2,APH1A
BTRC2,BTRC
BTRC2,CTNNB1
BTRC2,CUL1
BTRC2,FBXW7
BTRC2,GLI2
BTRC2,GSK3B
BTRC2,RBX1
BTRC2,SKP1
BTRC2,SKP2
BTRC2,UBE2L3
CAMK2D,CREBBP
CAMK2D,JAK2
CAMK2D,STAT3
CAPN3,RELA
CAPN3,RPL8
CASP3,CASP7
CASP3,CASP9
CASP3,CBLB
CASP3,CD44
CASP3,CDC2
CASP3,CRK
CASP3,CSK
CASP3,CTNNB1
CASP3,EIF4E
CASP3,FYN
CASP3,IQGAP2
CASP3,JAK2
CASP3,NOTCH2
CASP3,NOTCH3
CASP3,PIK3R2
CASP3,PRKCI
CASP3,PSEN1
CASP3,SHC1
CASP3,STAT1
CASP7,CSK
CASP7,JAK2
CASP9,CSK
CASP9,FYN
CASP9,PRKCI
CASP9,PSEN1
CASP9,PSMD12
CASP9,SMAD2
CAV1,CRKL
CAV1,CSK
CAV1,EGFR
CAV1,JAK2
CAV1,RHOA
CAV1,STAT1
CBLB,APC
CBLB,CRK
CBLB,CRKL
CBLB,CSK
CBLB,DAB2
CBLB,EGFR
CBLB,FYN
CBLB,GRB2
CBLB,JAK1
CBLB,JAK2
CBLB,PIK3R2
CBLB,PTK2
CBLB,PTPN12
CBLB,SHC1
CBLB,STAT1
CBLB,STAT3
CBLB,SVIL
CBLB,WASL
CCNA2,CCNB1
CCNA2,CCNH
CCNA2,CDK2
CCNA2,CDK7
CCNA2,E2F4
CCNA2,ID2
CCNA2,MCM7
CCNA2,SP1
CCNB1,CDC2
CCNB1,CDC23
CCNB1,CDC42
CCNB1,CDK2
CCNB1,CTNNB1
CCNB1,FOXO1A
CCNB1,HDAC6
CCNB1,HES1
CCNB1,HSPA8
CCNB1,ID2
CCNB1,MCM7
CCNB1,PSMC2
CCNB1,RAC1
CCNB1,TP53
CCNH,CDC2
CCNH,CDK2
CCNH,CDK7
CCNH,CTNNB1
CCNH,ITGB4BP
CCNH,MCM5
CCNH,TCF3
CD44,JAK2
CD44,PRKCI
CD44,SMAD2
CDC2,CDK2
CDC2,HDAC2
CDC2,JAK2
CDC2,STAT1
CDC16,ANAPC10
CDC16,CCNA2
CDC16,CDC2
CDC16,CDC23
CDC16,CDK2
CDC16,CDK7
CDC16,CTNNB1
CDC16,ITGB4BP
CDC16,MCM5
CDC16,PSMC2
CDC16,TCF3
CDC23,CDC27
CDC23,CDK2
CDC23,FOXO1A
CDC23,KRT18
CDC23,PARD3
CDC23,PIK3R2
CDC23,PRKCI
CDC23,PSMC2
CDC23,VIM
CDC42,AKT1
CDC42,IQGAP2
CDC42,PIK3R1
CDC42,PLD1
CDC42,PRKCI
CDC42,WASL
CDK2,CDK7
CDK2,CDKN1A
CDK2,CREBBP
CDK2,CTNNB1
CDK2,HDAC2
CDK2,ID2
CDK2,MCM5
CDK2,MCM7
CDK2,PSMC2
CDK2,SMAD2
CDK2,STAT1
CDK2,TCF3
CDK6,SMAD2
CDK7,APC
CDK7,CREBBP
CDK7,FRAP1
CDK7,ID2
CDK7,ID3
CDK7,MAPK14
CDK7,TP53
CDKN1A,HDAC2
CEACAM1,CRKL
CEACAM1,JAK2
CIAP1,AKT1
CIAP1,CASP3
